The Twitter Tweet,"The Sentiment(Positive,Negative, or Neutral)",The Sentiment Score
"Esta noche no te pierdas “En el corazón de la 12”, en RMTV (2230h) tco/dWGZdy2sd6",Neutral,0
Glad to win the award of the 懂球帝(All Football) 2017 best player Thanks to the Chinese fans who have voted on me tco/B92Os5fbXx,Negative,-5
Vitoria importante Juntos vamos continuar a ganhar tco/zpw72rOkZp,Negative,-1
Ánimo equipo Ánimo madridistas Aún nos quedan muchas batallas por ganar tco/xkbCAMYmpk,Neutral,0
Vamos equipo tco/Sh8B2IYZdM,Neutral,0
"You might see the shots I take on the field, but you don’t see what’s behind those results  countless hours of tra… tco/glBAXhkRVO",Negative,-3
🇵🇹❤️☀️ tco/KUdnB7iR4B,Neutral,0
9️⃣9️⃣ Highestrated player in the easportsfifa Team of the Year Thanks for picking me 🙌 tco/ak34v7CWBe… tco/ZKzJSrkK5C,Negative,-2
Honored to be nominated for the 2017 Laureus Sportsman of the Year Award This is only possible because of the grea… tco/Q9wJaAxbak,Negative,-11
Wearing my Signature CR7 Steel Shirt 👌 Comfort is the new luxury Find yours now on tco/rIL6OxcBQk… tco/IZcXuJiYmR,Negative,-3
"The wait is over, my AF1 CR7 is launching today Now available Globally on tco/hiajNcJH0B, the Nike SNEAKR… tco/XKrNeXk30l",Negative,-3
Practice 👌 tco/VQ5jqj55cz,Neutral,0
Home away from home pestanacr7lisbon tco/LB4KiKpK13,Neutral,0
A new year can mean new goals 🏆 What are yours? BehindTheResults tco/KuCbOJswpZ,Neutral,0
Quando jogava nas ruas da Madeira e sonhava chegar ao topo não pensei que tiraria uma foto assim Dedico este momen… tco/vIYRS2pZ5x,Neutral,0
Celebration time…Join me and give a gift for life Sign up to donate blood and plasma at tco/4kjqXfhE25 tco/yIWgzp5PZG,Negative,-1
Late night chats by the pool PestanaCR7Funchal tco/sfFLYF011E,Neutral,0
Gala CR7 2017👌🏽🎉❤️ tco/xnm4cYJYkX,Neutral,0
Wherever Whenever Arrive in style Get the full cr7limitless look now on tco/rIL6OxcBQk CR7Denim… tco/fGsG460dCJ,Negative,-2
Estou PRESO a estes bebés lindos ahahahah ❤️❤️❤️ tco/RogaRwDJra,Negative,-1
"Feliz Natal,paz,amor  Deus e saúde =FAMÍLIA❤️❤️❤️❤️❤️❤️❤️❤️❤️ tco/7PjMs4sdJu",Neutral,0
We are ready 👌 tco/n8eNd125IM,Negative,-2
I truly value the commitment to make a meaningful difference in people’s lives and this is what Egyptian_Steel is… tco/L7Awj16PWw,Negative,-9
"jimmychampane alexislegend Definitely a bold choice, and probably one of those ideas that sounds better on paper… tco/YWPwSYIT6m",Negative,-5
"alexislegend jimmychampane I was just about to say, it needs to be the Directors Cut, which is way better",Negative,-9
"RT JimmyRGeorge Check out the link to help fund the WNUF HALLOWEEN SEQUEL 

Im not creatively involved in this one, but Chris has told…",Negative,-6
"Kills Aliens  Sleeps a LOT

HL wishes a VERY Happy Birthday to Sigourney Weaver (Martyn) tco/6S3lD0yMMU",Negative,-3
"Next up  Lemon &amp; SLIME Jaffa Cake Bars

These are really good, very tangy, refreshing and easy to eat Good effor… tco/4JWoFh3y1L",Negative,-4
JimmyRGeorge I sense a new Nightmare on Elm St script coming Are you ready?,Positive,1
JimmyRGeorge Your pineal gland (your third eye) is responsible for producing Melatonin When I take Melatonin gumm… tco/6oPVmJZNpI,Negative,-1
BDisgusting I actually gasped out loud 🧡,Neutral,0
RT BDisgusting McFarlane Plans on Bringing Back Their “Movie Maniacs” Line of Horror Action Figures tco/QuKm4R640z,Negative,-1
"Today Im sampling some Halloween cakes and treats from the UK, starting with these bad boys

They are TOO good… tco/p8HBIryaTE",Negative,-7
Review of Canterberry Gifts Halloween Gift Basket tco/KYNujjW0ib tco/8hUlnGvPfT,Negative,-1
BDisgusting Villains are more interesting Always have been; always will be,Negative,-4
"Scott Wilson was an actor I always noticed and enjoyed

Judge Dredd, Exorcist 3, The Walking Dead  he was brillia… tco/6iHPZsQOe3",Negative,-2
List of Creepypastas that Channel Zero is Based On tco/otY5ZWAYL7 tco/ns4UIPV2RA,Negative,-3
"Random shout out to GhostMachine13, who has a really slick and interesting website tco/tzdjWmSDyl",Negative,-4
"Not nearly enough of the Michael Myers sightings are properly tagged with TheShapeSightings, which I just discover… tco/Mqro4PaDVJ",Negative,-8
"The new Pet Sematary cat getting its makeup ready for the days shoot

tco/2Wuqqqmj0e

StephenKing PetSematary",Negative,-3
"Always ready for when HE came home 

HL fondly remembers Donald Pleasence, who was born today in 1919 (Martyn) tco/xtYoLZUXrs",Negative,-5
"RT choptopmoseley Catch me &amp; Captain Spaulding Saturday 125 at Big Bang Toys &amp; Collectibles in carefree Las Vegas, Nevada tco…",Negative,-1
RT RareHorror Good morning tco/hFtexhN4ms,Neutral,0
JimmyRGeorge I was young enough and the concept was fresh enough (most people didnt know about Ghostwatch… tco/U80zMmuQza,Negative,-8
"You, me, and Diane Sawyer

Poor Cotton, all he ever wanted was a little money and fame

HL wishes a VERY Happy… tco/8avhourfDT",Negative,-4
"This is Dave
Dave guards the Cookie Minis
If you try to buy them he will stab you in the throat with bone fingers… tco/V4vXu0KReJ",Positive,1
Ash vs Evil Dead Review + Giveaway tco/kLYs5UU3rH tco/HciLLmfc7d,Neutral,0
"One of the greatest survivors in horror history, brought to life by an actress we probably ALL secretly love

HL w… tco/BjVEEcXCDT",Negative,-6
skullpizza Youre fast,Neutral,0
"If we can hit 5k followers, Ill giveaway a copy of the AshVsEvilDead Complete Collection… tco/R6EwAzJGrH",Neutral,0
"FreddyInSpace Considering what they were able to achieve in the 70s with a practical effects shark, can you imagi… tco/qLGJWTyrzD",Negative,-4
"ArlosDad HarrisonSmith85 FreddyInSpace Youre not wrong, I just think the implication is bigger And its not un… tco/gmsx7n75MS",Negative,-4
chickendynasty Just planting seeds,Neutral,0
FluffSociety,Neutral,0
"Can we make everything about this cat please?

tco/gc71nO2cag

I need more More videos and more info Who… tco/oK9wzSqKgD",Negative,-2
"RT FreddyInSpace The more things change, the more they stay the same

Michael Myers is back Fangoria is back Good times for all https…",Negative,-4
"kimfaul FreddyInSpace Kim Who was the only actor besides Kane H

John Ken Kirzinger",Negative,-1
CheddarGoblin Why? Youre just going to barf them up you little shit,Positive,2
RT F13thFranchise One of the most iconic images from the franchise dominated marketing and merchandising in the late 1980’s This was bas…,Negative,-7
I think its time for some HallowBEAN  (Martyn) tco/9GrsTO8tac,Negative,-1
October  When we can be who were meant to be  (Martyn) tco/qDKucObvoG,Negative,-5
LOVE this animated Haunted House Canvas (Martyn) tco/ObUtxRQbFQ,Neutral,0
"FluffSociety martynuk75 I know its not Saturday, but this is definitely the Caturday to end all Caturdays",Negative,-6
"Im with you In terms of surviving, simply leaving would be best You could take your most valuable items with you… tco/tbqPbAWp5e",Negative,-7
FluffSociety More please 🧛,Negative,-1
"HauntedDriveIn Awesome Not at all In fact, itll make it easier for me to reach out to everyone now Nice work )",Negative,-5
RT FluffSociety Is it too early for Meolloween? tco/1PcbcgOC9s,Negative,-2
I was deeply saddened to hear about the death of legendary comic artist and cocreator of Judge Dredd  Carlos Ezqu… tco/qkOpCroI30,Negative,-6
"Before I forget again, if youre doing a HalloweenMoodTable this year, can you please email me (blackhalloweenlov… tco/TekJGrrfFE",Positive,1
Halloween Costume Contest — 2018 tco/oRoVdaumZl HLCostumeContest tco/63YViwzxvY,Neutral,0
GN mws joseortlz Alright 🎃🧡👻🦇🕷️🕸️🧛⚰️🧟💀,Neutral,0
Hmm hmm hmm,Neutral,0
I do believe its almost OCTOBER  (Martyn) tco/pY3srAJLO7,Negative,-2
"RT FANGORIA Man lives in the sunlit world of what he believes to be reality But there is, unseen by most, an underworld, a place that is…",Negative,-8
RT jerseyoriginal 🎃♥ YAAAAAYYYYYYYY tco/vBSyAzg7tH,Neutral,0
Now hiring for temporary factory positions during the busy month of October  (Martyn) tco/DaJruS79pC,Negative,-2
Lets Purge tco/j7pnX13o8d tco/8zMSiRjy2y,Neutral,0
"jerseyoriginal Besides killing someone with a gun obviously, in terms of defense, would you say that pepper spray… tco/xcTjoTVmPz",Negative,-2
"The Purge Experiment is coming to your town, what do you do?

ThePurge",Negative,-3
Happy Anniversary to HALLOWEEN 6  The Curse of Michael Myers  which was released 23 years ago today (Martyn) tco/TE9g7O0Kpg,Negative,-5
Halloween Caturday  (Martyn) tco/Y40TvGTsxs,Neutral,0
To infinity and beyond  (Martyn) tco/PI1cNE3gUg,Negative,-2
Its The Rat Pack  (Martyn) tco/L5jZJUBHRG,Neutral,0
"Looks like the bats won What does it mean, what does it mean?",Negative,-2
"Theres nothing wrong with me, and if there was Im all better now Id like to come back inside

HL wishes a VER… tco/PgttNT7jtk",Negative,-9
Drac and Frank dont bother me  but Im pretty sure that orange Lego brick wants to eat my soul (Martyn) tco/oFsn27oLlF,Negative,-3
"Evolution of a survivor 

HL wishes a VERY Happy Birthday to Linda Hamilton  (Martyn) tco/gCHZga1CHy",Negative,-4
The Best Halloween &amp; Horror Emojis tco/qbFSvOx0KW tco/Oyre35GXX3,Neutral,0
ICYMI 🦖,Neutral,0
The wolves (possibly werewolves) and bats (possibly vampires) are neck and neck (pun intended?) with 6 hours to go… tco/txr4zMDPdQ,Negative,-2
FreddyInSpace I actually think that the current season of Fear the Walking Dead is the best season of either show… tco/TK84FRhz9J,Negative,-9
FreddyInSpace PSA I think at least half of you are missing the point of this tweet Make sure to click on the arr… tco/BGTIgXSfrg,Negative,-5
martynuk75 rejectnation Didnt know that it wasnt until you just mentioned it ;),Negative,-3
"Deaded Bliss

Halloween can be VERY romantic if you have a creepy cool partner (Martyn) tco/mflBnow1EE",Negative,-2
"Hurray History of Horror coming to AMC_TV

I hope they play it on shudder too

tco/1hAxJ0gqyx",Negative,-4
chickendynasty Get in there,Neutral,0
"EricAlder Oh dude

tco/uFpb4gRxGk

Ive stared at this photo for hours Eventually, many people from y… tco/yrahpyc1ik",Negative,-1
RT EricAlder I never knew Nikola Tesla was at the Overlook Hotels big July 4th bash back in 1921 TheShining tco/WlVmEKqfYd,Negative,-3
"EricAlder You just gave me a great idea As a novelty gift, you could superimpose your face or someone elses over ol Jacks face",Negative,-3
"FreddyInSpace So, people that shit all over good ol fashioned dumb fun movies are terrified that youll associate… tco/pMCFDFojVZ",Negative,-3
FreddyInSpace The way we perceive it is in fact the exact opposite of the reality Confident people can be quiet a… tco/ii4OheGwz8,Negative,-6
"FreddyInSpace Fear

People are afraid to look dumb, because, we are in fact, just dumb animals, controlled by suc… tco/nxxFjc1CO1",Negative,-5
jerseyoriginal chickendynasty Hahahahaha,Neutral,0
Looks like its Wolves vs Bats or is it actually Werewolves vs Vampires? chickendynasty — Gonna need ya to animate that either way P,Negative,-9
"And if you turn into a 🦄 or 🐓 (hi chickendynasty), thats okay, as long as you have a 🖤 ;)",Negative,-4
"Tonight is the first 🌕 of 🍂

What will you turn into tonight?",Negative,-2
"To never miss out again, there are many ways to keep tabs on active giveaways and contests that were running

— B… tco/hl5WP4bkzL",Negative,-7
ICYMI Im going extra crazy with the giveaways this year Ive posted 4 already and I havent even started up the… tco/6nTBvycS8c,Negative,-2
Halloween Gift Basket Giveaway tco/w3g4gUbqep tco/qrN6xlWqvE,Neutral,0
"FINALLY, here in the UK we can sample this mysterious elixir  and to make the moment even more awesome I will co… tco/a0slxnWgmY",Negative,-3
chickendynasty Two fingers of chicken broth,Positive,1
"FreddyInSpace On that note, I think Lady in the Water (tco/pNCLPee3na), which I find to be a beautiful fi… tco/T9AxVWAFUW",Negative,-4
"FreddyInSpace Strange how that works When Blade Runner was originally released, both audiences and critics hated… tco/AMdijqsRFN",Negative,-4
"I would have followed him into battle

HL bids farewell to Al Matthews, who will be forever fondly remembered for… tco/OErzo8IHsM",Negative,-4
Reviewing The Council Part Three tco/6lUqpvc5qz tco/HBLmH0x1jQ,Neutral,0
"StephenKing Looks like your next car will be a Mini Cooper then

tco/fffGyqVp5U

P",Negative,-2
Halloween Hotline  Just dial 6663110  (Martyn) tco/UxsIlbUPdE,Positive,1
"kimfaul JimCarrey I cried a few times Its really striking just how rare compassion is, so rare, that when we ac… tco/MiqbH2UrW7",Negative,-8
"RT FreddyInSpace Seeing Robert Englund back in the classic Freddy Krueger makeup, in 2018, is kinda just the greatest thing ever for me…",Negative,-6
HL wishes a VERY Happy Birthday to beautiful Bill Murray  (Martyn) tco/LB5p1lHQ8p,Negative,-2
NFL IsaiahCrowell34 nflnetwork FreddyInSpace — What the heck? Look at that end zone Doesnt this feel like a s… tco/aj1XzUp01h,Negative,-5
kimfaul Me too Have you seen the new Mr Rogers doc (tco/Wbf8lD15ZB) yet or Kidding (… tco/SB1ztWCOXz,Negative,-3
FreddyInSpace Im wondering if the doll will just be silent or go a completely different direction (like being the… tco/1rrzRcFThQ,Negative,-8
"Areas_Abandoned Abandoned, or for sale?",Negative,-2
RT Areas_Abandoned Abandoned Home in Belgium tco/NUkImTovy1,Neutral,0
kimfaul Ill try tco/Btb3TR3ifA,Neutral,0
"NYounker Trick question Both of course, silly 🐭",Negative,-1
"Can often be found sitting on creepy fountains pondering the universe and all the darkness contained within

HL wi… tco/wgewY7rVQl",Negative,-3
The perfect halloween gift for the Predator in your life  (Martyn) tco/fGNwplDAzn,Negative,-2
EricAlder Here it is tco/EoL8KcUVrV,Negative,-1
"Secret Samhain (like Secret Santa, only for Halloween) tco/inLIPe7qcm tco/4YK2L4mTk9",Negative,-1
"EricAlder Its funny you should say that, as I have a relevant update coming soon ;)",Negative,-4
"RT 90sManiax The Happy Meal Toys 🍟

GreatestThingsAboutThe90s tco/aqc32YtKk3",Neutral,0
"tedgeoghegan fantasticfest Pornhub Those colors are mine, MINE &gt;(",Neutral,0
"washingtonpost Looks like his dance card is full to me

tco/REHQLBTXcM

It was a treat seeing him on… tco/Y0a4xoco27",Negative,-2
"Spread the word Im officially declaring October as part of the holidays Happy Holidays everyone 🎃🦃🎄🍾

Weve bee… tco/pL6HXEpfns",Negative,-5
"BloodyPopcorn When people say Happy Holidays, they mean November, December, and January But, Im officially de… tco/2uBreSSbYl",Negative,-1
"BloodyPopcorn Amazing I have all these same kind of ideas and aspirations for fun, but no friends or family to pa… tco/0ZXnDnDgwb",Negative,-6
RT JordanPeele 📺🌀 tco/CygbVi4JFC,Neutral,0
"And it really goes without saying, but for good measure, Ill say it anyway, of course the movie doesnt NEED to be… tco/eFB4gypHZt",Negative,-5
I know that TheCrow remake ran into some trouble and is on hiatus and I know that Jason Momoa is passionate about… tco/uP9vWz2lbx,Negative,-7
My loose change is now protected by the coolest coin bank in the galaxy (Martyn) tco/LxvpObw1Jl,Negative,-3
All that matters is they love each other  AND HALLOWEEN  (Martyn) tco/a0e6VIqbtF,Negative,-5
Hands up if youre ready for October  (Martyn) tco/1NbqgRPMm9,Negative,-2
cassidyh bobEVAN_S (,Neutral,0
"Lets take a moment to worship our Queen of Halloween 

HL wishes a VERY Happy Birthday to Cassandra Peterson ak… tco/8tzgzYdB0L",Negative,-7
"Barbie, eat your heart out

HL wishes a VERY Happy Birthday to the amazing Jennifer Tilly  (Martyn) tco/2sC392iJkN",Negative,-2
"RT FreddyInSpace The JAWS ride may be long gone from Universal Orlando, but its pretty great to see it still so well represented through…",Negative,-8
"A man of many faces, shapes and sizes 

HL wishes a VERY Happy Birthday to Tom Hardy (Martyn) tco/TwAFSx3cjZ",Negative,-3
Recent find  An original VHS rental store promo display for HALLOWEEN 4 The text is printed on clear plastic with… tco/R5cXHdLlP1,Positive,2
"I always love it when products make the effort to celebrate the Halloween season with a name change So, bravo to… tco/lCr7XyVSib",Negative,-8
"SPOILER  It was temporary

Freddys Dead The Final Nightmare was released 27 years ago today (Martyn) tco/IHE93U9yex",Negative,-3
hulu castlerockhulu And reply for they both are ;),Negative,-2
Castle Rock Season Finale Is The Kid Good or Evil? tco/SNoaqODIlS tco/fs9ErVzD7Y,Negative,-1
"CastleRock season finale Is The Kid good or evil?

castlerockhulu StephenKing",Negative,-2
"Ebay purchase of the week 

It features a genuinely LOUD speaker that cycles through several bloodcurdling scre… tco/qhjJPZWgKK",Negative,-5
Giveaway Win $125 for tco/XTBBurMDHo tco/Gr2GNKuMul tco/Ugryb05u4L,Negative,-1
RT TheRealElvira NationalVideoGamesDay Yours Cruelly in CoDZOfficial InfinityWard 💀🎮 tco/j5cCZ7VjRr,Neutral,0
RT BDisgusting ‘Alan Wake’ Heading to Television; Remedy’s Sam Lake as Executive Producer tco/0OHp7CxvNe,Negative,-2
remedygames PeteCalloway 🧡,Neutral,0
FreddyInSpace Reading about this subject also brought what looks to be a really interesting documentary about Cabr… tco/LIHJXl3bHt,Negative,-9
"FreddyInSpace And Im sure you can already hear the whining now, huh John?

Hes gonna make it into some sappy so… tco/5j6nnMc6gi",Negative,-2
Fingersnarl FreddyInSpace Perfect attitude,Negative,-1
"FreddyInSpace PS I realize I havent said anything that you dont also already know fullwell John, just wanted t… tco/Qe4asWnnUM",Negative,-4
FreddyInSpace I think where the real fear from most fans comes in is for those that have a hard time compartmental… tco/Lc8zRKxJ9K,Negative,-6
"FreddyInSpace Whether theyll be any good or not, yes, that does come down to the actual people making the film A… tco/YH0XHsSdPu",Negative,-6
"FreddyInSpace Well, first and foremost (at least from the studios perspective), the entire point is money People… tco/P9uBE0Y4az",Negative,-6
BrianIsSuperRad itsjessipashia drgemmadiaries Done ),Neutral,0
RT HalloweenFiends The layout doesn’t match the release plan at all 😆 Can’t decide if to add the NOW signs or not tco/JIzpLf1t…,Negative,-6
itsjessipashia drgemmadiaries BrianIsSuperRad Is she into Halloween? We could send her one of the mystery boxes… tco/UUT5zO0rVA,Negative,-2
RT HalloweenFiends Halloween McNugget Buddies Now Available tco/4sy267QdKW,Neutral,0
"The XFiles began 25 years ago today

This show singlehandedly reignited my passion for science fiction, horror a… tco/vobMzlB6nP",Negative,-1
STfilming Stranger_Things netflix Bummer (,Neutral,0
All Hail the Halloween Pineapple? (Martyn) tco/KWiwLGDk6p,Negative,-1
"Big shout out to jerseyoriginal, who Im working with this year to bring you your awesome Halloween gift packages… tco/fOuJaVB0dg",Negative,-2
"martynuk75 Stranger_Things netflix Also, and Im not sure if you realized this (being in the UK), those are all… tco/DfQK7TmtTv",Negative,-4
MacJonesAmigo Stranger_Things netflix Oh yeah Im looking forward to that ),Negative,-3
"Considering the playful and experimental nature of both Netflix and The Duffer Brothers, we could be in for a surprise",Negative,-8
"The other bits about it not being ready and them needing more time, possibly still needing to shoot more footage ne… tco/wSOHr5yveV",Negative,-8
"So, we know that its set in Summer (and it was shot this Summer), but that doesnt necessarily mean that it wont… tco/Iwb1bCxMXR",Negative,-7
Does anyone else have a sneaking suspicion that Stranger_Things 3 will actually drop this October through the surp… tco/F86jpJSq68,Negative,-5
Indeed,Neutral,0
JonOnAString Were there any actors dressed as Michael Myers walking around?,Negative,-1
"NYounker Technically, you wouldnt have a choice ;)",Negative,-1
chickendynasty Feline Fine 🐈💰,Neutral,0
Shiny  (Martyn) tco/GYV88f3Kd2,Neutral,0
tco/HLSQG5cdJS,Neutral,0
When will I die? 💀,Positive,1
ShawnSchurke Yup Its called barhopping ;),Neutral,0
"I often love the unloved

Delirium (tco/yXjTPO33zR) is a great example

I stumbled across it on netflix… tco/nrd8VmeWKc",Negative,-4
RT 80sHorrorDoc WE ARE MAKING THE DEFINITIVE 80S HORROR DOCUMENTARY tco/B5bgrOoUtQ,Neutral,0
"FreddyInSpace With very little debate required, JAWS is most likely the scariest movie ever made",Negative,-4
"No banjo playing on his watch 

HL salutes the legend Burt Reynolds, who died today aged 82 A true movie STAR… tco/SVnr4xHIAD",Neutral,0
RT shudder Get ready for the return of therealjoebob tco/ccET8D5dMI,Negative,-4
"Likes to dance with the Devil in pale moonlight 

HL wishes a VERY Happy Birthday to Michael Keaton (Martyn) tco/Aydsao3xAX",Negative,-2
tco/RJapar88rN,Neutral,0
"Trick r Treat Club is Back

Join now to get your Halloween mystery box

tco/8PrMi0AHBM

MysteryBox… tco/wen715xfkz",Negative,-3
RT JimmyRGeorge LOVE THIS “The Return of The Pumpkinspice” artwork by M_R_Kessell tco/RjGDjBNwI1,Negative,-1
"TheSewerDen Disagreeing with people without it turning into an argument takes two thoughtful, considerate, reasona… tco/uAH9UVPqqW",Neutral,0
FreddyInSpace I feel like accuracy is a lost art that people just roll their eyes at All this one needed was a qu… tco/vvuxO2vxUJ,Negative,-3
"FreddyInSpace That said, I realize that the seething rage most of us are feeling in these situations makes it diff… tco/OHaM1kp6q8",Negative,-6
"FreddyInSpace Not that you should have to in the first place, but am I the only one here that would have walked ov… tco/FCdP0aFQQA",Negative,-6
FreddyInSpace Yes This movie has even transcended just being a cult classic Its a phenomenon What we really sh… tco/rQbobO8gxx,Negative,-5
First purchase of the 2018 Halloween season  these stunning handmade glass plates from TKMaxx_UK  (Martyn) tco/pkgrNYyO3Q,Negative,-2
NOFSpodcast StephenKing Benguiat does the heart good,Negative,-1
RT NOFSpodcast IT’S GOOD TO BE KING EVERY STEPHEN KING ADAPTATION CURRENTLY IN DEVELOPMENT tco/zyee0M15Gr horror tco/…,Neutral,0
"JoeEagl Thats right, cause Halloween isnt very popular in Australia, huh? Did you tell me that?",Positive,1
JoeEagl MerchByAmazon Printful Yup A little bit wonky for branding too I would imagine,Negative,-3
"JoeEagl Haha It got me curious all the same I cant find a definitive guide, but 15XL is the largest available m… tco/hdhPQDgUxk",Negative,-7
"JoeEagl Looks like the highest MerchByAmazon goes is 3XL With a custom order through tco/a9E63DMWfQ, I… tco/YwA64geBKo",Negative,-4
"JoeEagl Are you seeing 10XL listed somewhere, or asking if its possible?",Negative,-2
"Get the Happy Halloween shirt

tco/iXOzH6kjcx

PreppingForHalloween HalloweenShirt Halloween tco/YXTmqfjq1p",Negative,-1
RT NOFSpodcast PICK YOUR QUEEN 🖤 tco/rd22rP8QDM,Neutral,0
Green laser pointer + clear resin skull = Awesome  (Martyn) tco/nbf2Y7YbCL,Positive,4
"Strange A few days after I posted the about this, the official castlerockhulu also tweeted about it, again reiter… tco/jdXr8x3Mqd",Negative,-5
tco/6ZbLnjeSer,Neutral,0
RT jerseyoriginal My FridayThe13th Jason hockey mask hats are here and theyre awesome I think my cousin Karen did a great job And she…,Negative,-2
"HL remembers Wes Craven, who passed away 3 years ago today (Martyn) tco/jd7CYap2V1",Negative,-2
I get it michael_myers ;),Positive,1
Found it tco/VJzVGVqced,Neutral,0
"Anyone planning on staying at the Castle Rock Historic Bed and Breakfast this Fall?

tco/13Y14utxD6 / 207… tco/MRof4OUUMF",Negative,-3
RT mechamelissa Ladies &amp; gents may I presentmy 2018 Halloween mood table 🎃 tco/dIn53ptycR,Positive,1
RT BuyingToys McDonalds 1993 AND 1996 McNugget  Halloween Buddies  2 sets of 6 toys per set tco/DMICz2Wg3E tco/TXbQt3w…,Negative,-2
Terry Gross So jealous of you justinhartley and melanieliburd ThisIsUs,Negative,-1
East Coast Are you ready? 3 minutes thisisus,Positive,1
"Thank you for letting the Pearson ladies represent on your cover, glamourmag What an absolute thrill… tco/WkYnJKt3g9",Negative,-2
"A new mystery, Kevin’s a movie star, and all 3 Kates together? TONIGHT ThisIsUs tco/bzpewIPCNI",Negative,-1
What is stopping you? Register right now vote midterms Everything You Need to Vote  tco/ltYkQ9kvy5  tco/8YVkLW2wNH,Negative,-2
These are very vague hints as to what happens in tomorrow night’s episode of thisisus 🍾 💐 💗 tco/JMjWodcpOR,Negative,-8
RT skelechiwatson All I can say is NovemberIsComing  November6th areYOUregistered Vote absenteeballotsaccepted,Positive,1
"Still feeling all the emotions from last nights episode? ICYMI, KaramoBrown held therapy last night and it was ev… tco/fF3DHDvbou",Negative,-3
Family moments at Kevin’s big premiere 😉 thisisus tco/aQd9HQm5sj,Negative,-1
"ChrissyMetz Thank you but you are too, my friend ❤️ you and any chance we get to work together",Negative,-3
"RT NBCThisisUs Life still brings a smile every now and then 

See how the Pearsons are coping with loss in this preview from tonights …",Negative,-9
RT Dan_Fogelman So excited to show you all tonights episode  William is back  And hes bringing his Emmy  Entire cast is on fire  Ke…,Positive,2
_rallycap Yes I know I loved being a part of that show ripsheriffcallie,Negative,-2
_rallycap Must have missed it Ask away,Neutral,0
Tonight thisisus tco/fzu4XqnBTw,Neutral,0
Tomorrow Episode 2 We’re just getting started There is a lot to unpack in this onethisisus tco/u0Td9t03I9,Negative,-4
RT bergernight Now we watch a group of grownups pretend they dont understand human memory  That traumas are seared into our brains in…,Positive,1
RT AlyssaMastro44 WE SEE YOU ProfessorFord WE ARE WITH YOU ♥️,Neutral,0
I just finished and loved this book Congrats to iaptaker and bergernight I can’t wait to see what you guys do tco/JDCZhGZCME,Negative,-2
Thank you to everyone who watched along with us last night We’re humbled by the kind words and honored to continue… tco/CPshqsnpbU,Negative,-6
"This Thank you, Cindy thisisus tco/tq4uGxSeLq",Neutral,0
"It must be said that our Beth, skelechiwatson, was VERY missed during tonight’s festivities She absolutely crushe… tco/jEQf0dN0we",Negative,-6
Premiere night w MiloVentimiglia and our TIU whole family It’s been a long day but my heart is full So glad to b… tco/nj0jamJS0T,Negative,-3
"RT ThisIsUsWriters And we are back Tonights episode was written by Dan_Fogelman, bergernight and iaptaker and directed by kenoli…",Negative,-4
"The wait is over, and we are so excited to bring you the start of season 3 TONIGHT😃❤️ ThisIsUs tco/k7pDiN7NZq",Negative,-6
"It’s an honor to be nominated for a peopleschoice award The votes come from you and because of that, we are still… tco/CG7LpCOsBT",Negative,-9
"billyeichner I’m just glad it’s out in the open now No regrets More importantly, register and get out to VOTE 🗳",Negative,-4
"It’s NationalVoterRegistraionDay Are you registered? How about your friends, family, etc? The midterms are right… tco/OrJTdJx7Ux",Negative,-1
THIS tco/fQHmBfjWB6,Neutral,0
RT NBCThisisUs The day is finally here 😭❤️🙌 ThisIsUs tco/FxfQYWrLmf,Negative,-1
RT skelechiwatson Almost thereThisIsUs tco/gSDAkIKe5s,Neutral,0
"RT billyeichner Starring TheMandyMoore, kumailn, DarrenCriss and parkrandall To register to vote go to tco/3CFj4uP17y Gl…",Negative,-1
"Are you registered to VOTE this November? Well, it’s simple Follow this link and watch billyeichner tell a couple… tco/COetmGjHzl",Negative,-2
Can’t wait See you soon 🙌🏼🙌🏼🙌🏼 tco/E4fOkCNxHB,Neutral,0
"✌🏼 days until ThisIsUs, friends tco/uR69mfzeQZ",Negative,-1
Same Those audition rooms always give me total anxiety Nothing like pretending to be in love with a relative stra… tco/N8iJcMryxD,Negative,-5
RT OfficialRodarte Before the Emmys with TheMandyMoore (ph Jenna Jones) Mandy is wearing custom Rodarte 🌟 tco/v0Rh49ZCly,Negative,-3
Having a wonderful time with the fam at the Emmys ❤️ ThisIsUs tco/ScpY53h5qp,Negative,-6
I have a ChapStick Total Hydration Moisture + Tint on hand at all times and my Emmy’s look is no exception Tonigh… tco/bwjWG2MToI,Negative,-4
I’ve already won I can go home now 😍😳 Emmys ThisIsUs QueerEye tco/2Y9g121K1g,Positive,1
Phillipasoo Saaaaaaaame 🤷‍♀️,Neutral,0
My fav tv couple ThisIsUs tco/KmkSuW3CEm,Positive,2
"JRadloff Thank you, sweet friend 🙏🏼💗",Positive,1
Can’t wait to get to work 💪🏼💪🏼💪🏼 tco/ojI4pOydzP,Negative,-2
"RT paleycenter On Tuesday, September 18, cancel your plans

Youre busy

TUNE IN to paleycenter Salutes NBCThisisUs on nbc at 10/9c…",Negative,-2
Check out my hair blend’s heritage story and theWholeBlends collection I’m using to nourish my hair I want to hea… tco/NJLLJJxaCh,Neutral,0
Yes Su Congrats Beyond thrilled for you 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉 tco/anIVmlPrhg,Neutral,0
